"Participant.ID","Country","AgeMatchGroup","Video.id","Motion.status","Start.Frame","End.Frame","Total.Points","Start.ms","End.ms"
"025TT","U.S.",25,7,"Moving",31439,31588,1004018024,942226830,946692360
"025TT","U.S.",25,11,"Stationary",24156,24306,1017540000,723955320,728450820
"025TT","U.S.",25,11,"Stationary",34585,34735,1017540000,1036512450,1041007950
"025TT","U.S.",25,16,"Stationary",25894,26044,1017540000,776043180,780538680
"025TT","U.S.",25,18,"Stationary",18132,18282,1017540000,543416040,547911540
"025TT","U.S.",25,18,"Stationary",23047,23197,1017540000,690718590,695214090
"025TT","U.S.",25,20,"Moving",32338,32487,1004018024,969169860,973635390
"025TT","U.S.",25,20,"Stationary",30,180,1017540000,899100,5394600
"025TT","U.S.",25,20,"Stationary",36384,36533,1004018024,1090428480,1094894010
"034JC","U.S.",34,6,"Moving",39560,39710,1017540000,1185613200,1190108700
"034JC","U.S.",34,6,"Moving",70609,70759,1017540000,2116151730,2120647230
"034JC","U.S.",34,7,"Moving",2428,2577,1004018024,72767160,77232690
"034JC","U.S.",34,15,"Moving",26224,26374,1017540000,785933280,790428780
"034JC","U.S.",34,15,"Moving",72318,72467,1004018024,2167370460,2171835990
"034JC","U.S.",34,16,"Moving",150,300,1017540000,4495500,8991000
"034JC","U.S.",34,16,"Moving",27393,27542,1004018024,820968210,825433740
"034JC","U.S.",34,16,"Stationary",27123,27273,1017540000,812876310,817371810
"034JC","U.S.",34,16,"Stationary",35964,36114,1017540000,1077841080,1082336580
"034JC","U.S.",34,16,"Stationary",39021,39171,1017540000,1169459370,1173954870
"034NW","U.S.",35,5,"Stationary",10220,10370,1017540000,306293400,310788900
"034NW","U.S.",35,7,"Stationary",6653,6803,1017540000,199390410,203885910
"034NW","U.S.",35,9,"Stationary",37433,37582,1004018024,1121867010,1126332540
"034NW","U.S.",35,11,"Stationary",6983,7133,1017540000,209280510,213776010
"034NW","U.S.",35,14,"Stationary",1049,1199,1017540000,31438530,35934030
"034NW","U.S.",35,15,"Moving",659,809,1017540000,19750230,24245730
"034NW","U.S.",35,15,"Moving",30989,31139,1017540000,928740330,933235830
"034NW","U.S.",35,15,"Moving",71538,71688,1017540000,2143993860,2148489360
"034NW","U.S.",35,15,"Moving",73067,73217,1017540000,2189817990,2194313490
"034NW","U.S.",35,15,"Stationary",2188,2338,1017540000,65574360,70069860
"034SA","India",34,6,"Moving",51458,51608,1017540000,1542196260,1546691760
"034SA","India",34,9,"Moving",24485,24635,1017540000,733815450,738310950
"034SA","India",34,14,"Stationary",3327,3477,1017540000,99710190,104205690
"034SA","India",34,14,"Stationary",10999,11149,1017540000,329640030,334135530
"034SA","India",34,14,"Stationary",29820,29970,1017540000,893705400,898200900
"034SA","India",34,16,"Stationary",4615,4765,1017540000,138311550,142807050
"034SA","India",34,22,"Moving",10220,10370,1017540000,306293400,310788900
"034SA","India",34,22,"Moving",15584,15734,1017540000,467052480,471547980
"034SA","India",34,22,"Stationary",9291,9441,1017540000,278451270,282946770
