ground,crawling,466,559,413,352,292,275,236,229,200,203,184,174,170,160,154,143,148,90,52,22,4
ground,walking,363,547,405,349,296,261,245,218,207,194,132,68,32,4,0,0,0,0,0,0,0
side-wall,crawling,419,611,413,352,292,275,236,229,200,203,184,174,170,160,154,143,148,90,52,22,4
side-wall,walking,441,746,607,355,296,261,245,218,207,194,132,68,32,4,0,0,0,0,0,0,0
two-walls,crawling,371,663,413,352,292,275,236,229,200,203,184,174,170,160,154,143,148,90,52,22,4
two-walls,walking,519,945,809,361,296,261,245,218,207,194,132,68,32,4,0,0,0,0,0,0,0
room,crawling,184,613,651,352,292,275,236,229,200,203,184,174,170,160,154,143,148,90,52,22,4
room,walking,67,538,849,863,844,275,245,218,207,194,132,68,32,4,0,0,0,0,0,0,0
