Participant.ID,Country,Weeks.At.Test,AgeMatchGroup,Clip.Index,Segment.Index,Motion.Static,Segment.Start.ms,Segment.End.ms,Segment.ms
053KD,U.S.,53,53.5,6,26,Moving,843132,844763,1631
054AJ,India,54,53.5,30,0,Unclassified,0,1634,1634
036VI,India,36,36,5,37,Moving,1987378,1989033,1655
025TA,India,25,25,14,0,Unclassified,0,1657,1657
034NW,U.S.,34,35,15,57,Moving,2362526,2364187,1661
036MR,U.S.,36,36,13,49,Moving,1122802,1124466,1664
036MR,U.S.,36,36,11,157,Moving,2003180,2004844,1664
053KD,U.S.,53,53.5,3,45,Moving,730898,732562,1664
036MR,U.S.,36,36,11,13,Moving,135420,137085,1665
036MR,U.S.,36,36,10,13,Moving,135420,137085,1665
053KD,U.S.,53,53.5,1,25,Moving,622064,623729,1665
017MA,India,17,17.5,17,0,Unclassified,0,1667,1667
046TE,U.S.,46,46.5,7,46,Stationary,2965848,2967521,1673
017MA,India,17,17.5,3,4,Moving,188561,190247,1686
054AJ,India,54,53.5,28,32,Stationary,279853,281542,1689
018MT,U.S.,18,17.5,1,19,Moving,1264512,1266213,1701
036MR,U.S.,36,36,13,17,Moving,488363,490064,1701
053KD,U.S.,53,53.5,3,37,Moving,567284,568985,1701
053KD,U.S.,53,53.5,3,139,Moving,3724124,3725825,1701
053KD,U.S.,53,53.5,3,99,Moving,1723830,1725531,1701
048RE,India,48,46.5,14,0,Unclassified,357,2058,1701
036VI,India,36,36,13,59,Moving,922964,924675,1711
058LA,India,58,57.5,5,24,Unclassified,1515385,1517101,1716
054AJ,India,54,53.5,28,15,Stationary,103090,104807,1717
036MR,U.S.,36,36,8,21,Moving,192101,193834,1733
036VI,India,36,36,15,51,Stationary,1128577,1130312,1735
053KD,U.S.,53,53.5,7,82,Moving,1309985,1311723,1738
036MR,U.S.,36,36,11,22,Stationary,272283,274022,1739
057AP,U.S.,57,57.5,4,146,Moving,3389410,3391157,1747
036MR,U.S.,36,36,8,25,Moving,216309,218076,1767
036VI,India,36,36,1,0,Unclassified,0,1768,1768
036MR,U.S.,36,36,3,1,Moving,137788,139563,1775
036MR,U.S.,36,36,11,77,Moving,886853,888628,1775
053KD,U.S.,53,53.5,3,21,Moving,289710,291485,1775
022JL,U.S.,22,23,15,22,Stationary,2327374,2329149,1775
036MR,U.S.,36,36,15,4,Stationary,25715,27490,1775
036VI,India,36,36,12,70,Moving,2090320,2092096,1776
036VI,India,36,36,11,26,Moving,840484,842269,1785
025TT,U.S.,25,25,4,17,Unclassified,551388,553182,1794
036MR,U.S.,36,36,6,20,Moving,349147,350948,1801
036VI,India,36,36,13,43,Moving,666468,668269,1801
053KD,U.S.,53,53.5,1,13,Moving,220422,222223,1801
036MR,U.S.,36,36,8,10,Stationary,90611,92412,1801
036MR,U.S.,36,36,11,43,Moving,507677,509489,1812
036MR,U.S.,36,36,11,113,Moving,1370517,1372329,1812
053KD,U.S.,53,53.5,3,117,Moving,2430826,2432638,1812
057AP,U.S.,57,57.5,6,19,Moving,324786,326598,1812
006MO,India,6,6,7,0,Unclassified,0,1827,1827
006AP,U.S.,6,6,5,5,Moving,1483760,1485595,1835
036VI,India,36,36,12,157,Moving,3078428,3080263,1835
036VI,India,36,36,5,147,Moving,4066230,4068065,1835
017MA,India,17,17.5,19,2,Moving,420280,422129,1849
022JL,U.S.,22,23,15,7,Moving,1675175,1677024,1849
036MR,U.S.,36,36,13,63,Moving,1320974,1322823,1849
046TE,U.S.,46,46.5,18,18,Moving,315721,317570,1849
036VI,India,36,36,11,51,Stationary,1120354,1122215,1861
053KD,U.S.,53,53.5,6,36,Moving,1039244,1041113,1869
006AP,U.S.,6,6,4,7,Moving,962268,964138,1870
022JL,U.S.,22,23,11,21,Moving,1862214,1864084,1870
036VI,India,36,36,12,16,Moving,727528,729401,1873
018MT,U.S.,18,17.5,7,5,Moving,754874,756760,1886
025TA,India,25,25,3,0,Unclassified,0,1888,1888
036VI,India,36,36,13,19,Stationary,331379,333267,1888
018MT,U.S.,18,17.5,5,2,Stationary,927553,929445,1892
036VI,India,36,36,13,18,Moving,329478,331378,1900
036VI,India,36,36,5,49,Moving,2127856,2129770,1914
036VI,India,36,36,12,78,Moving,2146202,2148119,1917
018MT,U.S.,18,17.5,4,9,Moving,192696,194619,1923
036MR,U.S.,36,36,11,167,Moving,2125021,2126944,1923
036MR,U.S.,36,36,13,80,Stationary,1616308,1618231,1923
053KD,U.S.,53,53.5,3,141,Moving,3737629,3739562,1933
006AP,U.S.,6,6,5,3,Moving,1457206,1459143,1937
046TE,U.S.,46,46.5,7,52,Stationary,3040405,3042349,1944
053KD,U.S.,53,53.5,4,17,Moving,1170088,1172048,1960
053KD,U.S.,53,53.5,3,55,Moving,874569,876529,1960
036MR,U.S.,36,36,4,11,Stationary,154735,156695,1960
036MR,U.S.,36,36,9,1,Moving,6993,8954,1961
034NW,U.S.,34,35,8,7,Moving,768024,769995,1971
053KD,U.S.,53,53.5,6,66,Moving,2476152,2478123,1971
053KD,U.S.,53,53.5,6,40,Moving,1306042,1308013,1971
036MR,U.S.,36,36,17,39,Moving,769250,771222,1972
036VI,India,36,36,12,40,Moving,1376184,1378158,1974
036MR,U.S.,36,36,5,59,Moving,1802835,1804810,1975
036VI,India,36,36,11,49,Stationary,1113286,1115261,1975
036VI,India,36,36,12,83,Moving,2170700,2172680,1980
036VI,India,36,36,7,24,Stationary,1037855,1039842,1987
053KD,U.S.,53,53.5,3,27,Moving,346209,348206,1997
057AP,U.S.,57,57.5,2,5,Moving,1090279,1092276,1997
036MR,U.S.,36,36,8,51,Moving,535943,537948,2005
036VI,India,36,36,5,45,Moving,2047072,2049077,2005
057AP,U.S.,57,57.5,10,18,Stationary,526660,528665,2005
054AJ,India,54,53.5,28,22,Moving,146074,148082,2008
036VI,India,36,36,13,120,Stationary,2232675,2234683,2008
036MR,U.S.,36,36,14,7,Moving,65702,67715,2013
057AP,U.S.,57,57.5,4,138,Moving,3271382,3273395,2013
034NW,U.S.,34,35,15,60,Stationary,2373030,2375058,2028
022JL,U.S.,22,23,13,9,Moving,588485,590519,2034
053KD,U.S.,53,53.5,3,51,Moving,803973,806007,2034
053KD,U.S.,53,53.5,3,59,Moving,960039,962073,2034
057AP,U.S.,57,57.5,7,19,Moving,583342,585376,2034
022JL,U.S.,22,23,13,2,Stationary,465127,467162,2035
036VI,India,36,36,13,35,Moving,567052,569091,2039
036VI,India,36,36,13,66,Stationary,1018538,1020577,2039
034NW,U.S.,34,35,14,2,Stationary,6629,8678,2049
048RE,India,48,46.5,18,15,Unclassified,962354,964411,2057
034NW,U.S.,34,35,15,78,Stationary,2508824,2510887,2063
036VI,India,36,36,12,52,Moving,1843888,1845952,2064
053KD,U.S.,53,53.5,3,129,Moving,3152511,3154582,2071
036VI,India,36,36,9,29,Stationary,611943,614014,2071
006AP,U.S.,6,6,8,1,Moving,399637,401709,2072
022JL,U.S.,22,23,11,11,Moving,870026,872099,2073
034JC,U.S.,34,34,8,0,Unclassified,0,2087,2087
036VI,India,36,36,7,9,Moving,144096,146185,2089
048RE,India,48,46.5,9,77,Moving,2588019,2590112,2093
036VI,India,36,36,13,31,Moving,509286,511393,2107
057AP,U.S.,57,57.5,10,21,Moving,556274,558381,2107
022JL,U.S.,22,23,13,17,Moving,738076,740184,2108
036MR,U.S.,36,36,11,89,Moving,1038849,1040957,2108
053KD,U.S.,53,53.5,2,1,Moving,2442,4550,2108
017MA,India,17,17.5,12,14,Unclassified,1202962,1205070,2108
054AJ,India,54,53.5,29,2,Stationary,11015,13128,2113
036VI,India,36,36,12,137,Moving,2851446,2853563,2117
034NW,U.S.,34,35,4,22,Stationary,956801,958935,2134
036MR,U.S.,36,36,8,7,Moving,71197,73338,2141
036VI,India,36,36,12,209,Moving,3809496,3811637,2141
036VI,India,36,36,13,158,Stationary,3180360,3182501,2141
025TT,U.S.,25,25,4,43,Stationary,1988055,1990199,2144
036MR,U.S.,36,36,11,145,Moving,1780181,1782326,2145
036MR,U.S.,36,36,4,12,Moving,156696,158841,2145
053KD,U.S.,53,53.5,7,28,Moving,323269,325414,2145
053KD,U.S.,53,53.5,7,122,Moving,2309503,2311648,2145
036VI,India,36,36,13,129,Moving,2374696,2376843,2147
057AP,U.S.,57,57.5,4,58,Moving,1841480,1843645,2165
054AJ,India,54,53.5,2,0,Stationary,0,2166,2166
036VI,India,36,36,13,65,Moving,1016362,1018537,2175
018MT,U.S.,18,17.5,4,11,Moving,199874,202056,2182
036MR,U.S.,36,36,13,27,Moving,627372,629554,2182
053KD,U.S.,53,53.5,7,90,Moving,1416545,1418727,2182
053KD,U.S.,53,53.5,3,17,Moving,260295,262477,2182
018MT,U.S.,18,17.5,13,29,Moving,1052946,1055136,2190
046TE,U.S.,46,46.5,7,37,Moving,2620209,2622402,2193
036VI,India,36,36,12,64,Moving,2051900,2054094,2194
034NW,U.S.,34,35,14,19,Moving,672648,674856,2208
022JL,U.S.,22,23,14,17,Moving,328168,330377,2209
053KD,U.S.,53,53.5,6,48,Moving,1515346,1517555,2209
036VI,India,36,36,9,45,Moving,1053797,1056007,2210
036MR,U.S.,36,36,9,9,Moving,235506,237725,2219
036MR,U.S.,36,36,15,23,Moving,306101,308320,2219
036MR,U.S.,36,36,13,23,Moving,584193,586412,2219
018MT,U.S.,18,17.5,13,37,Moving,1400450,1402681,2231
054AJ,India,54,53.5,28,3,Moving,18619,20854,2235
053KD,U.S.,53,53.5,6,58,Moving,1896758,1899001,2243
036VI,India,36,36,12,171,Moving,3304834,3307084,2250
046TE,U.S.,46,46.5,18,12,Moving,266918,269170,2252
057AP,U.S.,57,57.5,8,1,Moving,104859,107114,2255
036MR,U.S.,36,36,11,75,Moving,877751,880007,2256
036MR,U.S.,36,36,4,13,Stationary,158842,161098,2256
036MR,U.S.,36,36,11,27,Moving,313316,315573,2257
036MR,U.S.,36,36,8,5,Moving,56917,59177,2260
048RE,India,48,46.5,12,0,Unclassified,0,2266,2266
036VI,India,36,36,16,2,Moving,20387,22655,2268
006AP,U.S.,6,6,20,1,Moving,1236614,1238891,2277
022JL,U.S.,22,23,11,15,Moving,886108,888385,2277
036MR,U.S.,36,36,8,47,Moving,464101,466378,2277
036VI,India,36,36,5,25,Stationary,1673650,1675927,2277
036MR,U.S.,36,36,4,30,Moving,333667,335960,2293
036MR,U.S.,36,36,11,67,Moving,735227,737520,2293
036MR,U.S.,36,36,9,41,Moving,880490,882783,2293
053KD,U.S.,53,53.5,7,94,Moving,1470158,1472451,2293
057AP,U.S.,57,57.5,6,21,Moving,349798,352091,2293
024DA,India,24,23,2,0,Unclassified,0,2293,2293
036MR,U.S.,36,36,7,18,Stationary,1136086,1138379,2293
036VI,India,36,36,12,56,Moving,1916410,1918708,2298
036VI,India,36,36,13,107,Moving,1880506,1882813,2307
036VI,India,36,36,5,153,Moving,4153338,4155649,2311
036VI,India,36,36,12,54,Moving,1860922,1863233,2311
046TE,U.S.,46,46.5,8,4,Stationary,219674,221985,2311
036MR,U.S.,36,36,14,23,Moving,306470,308787,2317
034NW,U.S.,34,35,3,0,Unclassified,0,2324,2324
036MR,U.S.,36,36,15,7,Moving,88578,90908,2330
036MR,U.S.,36,36,13,76,Stationary,1590260,1592590,2330
048RE,India,48,46.5,1,0,Unclassified,0,2335,2335
046TE,U.S.,46,46.5,7,26,Stationary,1403669,1406012,2343
022JL,U.S.,22,23,14,7,Moving,235722,238067,2345
053KD,U.S.,53,53.5,1,35,Moving,2587910,2590255,2345
036VI,India,36,36,13,99,Moving,1622344,1624692,2348
034NW,U.S.,34,35,6,11,Moving,393117,395467,2350
036VI,India,36,36,11,34,Moving,935636,937989,2353
057AP,U.S.,57,57.5,8,49,Moving,3153843,3156210,2367
036VI,India,36,36,15,48,Moving,1047433,1049808,2375
036MR,U.S.,36,36,17,11,Moving,230894,233273,2379
036VI,India,36,36,13,149,Moving,2947766,2950145,2379
036VI,India,36,36,13,125,Moving,2259912,2262291,2379
053KD,U.S.,53,53.5,6,2,Moving,15232,17611,2379
022JL,U.S.,22,23,14,32,Stationary,643790,646169,2379
036VI,India,36,36,13,97,Moving,1579158,1581539,2381
057AP,U.S.,57,57.5,4,18,Moving,335312,337705,2393
034NW,U.S.,34,35,5,13,Stationary,449830,452226,2396
036VI,India,36,36,13,51,Moving,754868,757271,2403
022JL,U.S.,22,23,4,1,Moving,78995,81399,2404
022JL,U.S.,22,23,13,13,Moving,713693,716097,2404
036MR,U.S.,36,36,13,39,Moving,767750,770154,2404
036MR,U.S.,36,36,2,13,Moving,270655,273059,2404
053KD,U.S.,53,53.5,2,15,Moving,440855,443259,2404
053KD,U.S.,53,53.5,7,42,Moving,511969,514373,2404
053KD,U.S.,53,53.5,7,76,Moving,1154622,1157026,2404
036VI,India,36,36,13,81,Moving,1485834,1488239,2405
058LA,India,58,57.5,8,39,Stationary,1497703,1500109,2406
036MR,U.S.,36,36,12,23,Moving,404022,406435,2413
036MR,U.S.,36,36,17,17,Moving,365330,367743,2413
036VI,India,36,36,12,96,Moving,2312714,2315127,2413
036VI,India,36,36,12,12,Moving,614652,617065,2413
